Human Timestamp,Unix Time,Microseconds,System Failure,Accelerometer Failure,Gyroscope Failure,Magnetometer Failure,Pressure Failure,GNSS Failure,Accelerometer Overrange,Gyroscope Overrange,Magnetometer Overrange,Pressure Overrange,Minimum Temperature,Maximum Temperature,Low Voltage,High Voltage,GNSS Antenna Disconnected,Data Overflow,Orientation Ready,Navigation Ready,Heading Ready,Time Ready,GNSS Fix Type,Event 1 Flag,Event 2 Flag,Internal GNSS Enabled,Magnetic Heading Enabled,Velocity Heading Enabled,Atmospheric Altitude Enabled,External Position Active,External Velocity Active,External Heading Active,Latitude (degrees),Longitude (degrees),Height (m),Velocity North (m/s),Velocity East (m/s),Velocity Down (m/s),Acceleration X (m/s/s),Acceleration Y (m/s/s),Acceleration Z (m/s/s),G Force (g),Roll (degrees),Pitch (degrees),Heading (degrees),Angular Velocity X (degrees/s),Angular Velocity Y (degrees/s),Angular Velocity Z (degrees/s),Latitude Error (m),Longitude Error (m),Height Error (m)
Wed Jan 01 01:04:27 CET 2020,1577837067,50805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,-1.43144073694989E-125,-1.43144073694989E-125,-2.8735182454018313E-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.555966892602084,2.1594099924759798,307.6422308160331,-3.4941004456097837,1.442040839882858,0.15725002230512647,0.0,0.0,50.0
Wed Jan 01 01:04:27 CET 2020,1577837067,150790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,-1.43144073694989E-125,-1.43144073694989E-125,-2.8735182454018313E-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.055816121235137,2.170742490564883,307.9404909095813,-5.056513807349279,0.24837886155738126,0.6965895162992103,0.0,0.0,50.0
Wed Jan 01 01:04:27 CET 2020,1577837067,250790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,-1.43144073694989E-125,-1.43144073694989E-125,-2.8735182454018313E-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.464936559855859,1.9145021761365557,308.21518472554516,4.038853566512768,-2.4128479561788416,0.804209467847507,0.0,0.0,50.0
Wed Jan 01 01:04:27 CET 2020,1577837067,350790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,-1.43144073694989E-125,-1.43144073694989E-125,-2.8735182454018313E-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.489711629141256,1.8791433492772704,308.2844458793687,0.21564544557856288,-0.24057015292502573,0.7254895644973498,0.0,0.0,50.0
Wed Jan 01 01:04:27 CET 2020,1577837067,450790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,-1.43144073694989E-125,-1.43144073694989E-125,-2.8735182454018313E-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.52376300601142,2.0251638385952315,308.6248843642075,0.27397668404654885,1.6464797853899562,0.9503078972129968,0.0,0.0,50.0
Wed Jan 01 01:04:27 CET 2020,1577837067,550790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,-1.43144073694989E-125,-1.43144073694989E-125,-2.8735182454018313E-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.729420912612392,2.2512270112326087,308.86441333068456,2.0004421965673425,2.3066829867057392,-0.17762781580286874,0.0,0.0,50.0
Wed Jan 01 01:04:27 CET 2020,1577837067,650788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,-1.43144073694989E-125,-1.43144073694989E-125,-2.8735182454018313E-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.517820437869545,2.347362227364501,309.0959573506759,-2.1576418841728358,0.9979137844910502,-0.08470550168380246,0.0,0.0,50.0
Wed Jan 01 01:04:27 CET 2020,1577837067,750790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,-1.43144073694989E-125,-1.43144073694989E-125,-2.8735182454018313E-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.093084061858431,2.550484312399621,309.1546884777471,-4.281997069098586,2.1026907355703597,0.31831246647747713,0.0,0.0,50.0
Wed Jan 01 01:04:27 CET 2020,1577837067,850790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,-1.43144073694989E-125,-1.43144073694989E-125,-2.8735182454018313E-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.057835428717755,2.775251570478474,309.49106649101526,-0.4308886309605074,2.401655249294951,0.797861186468934,0.0,0.0,50.0
Wed Jan 01 01:04:27 CET 2020,1577837067,950790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,-1.43144073694989E-125,-1.43144073694989E-125,-2.8735182454018313E-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7296439284067535,2.9892896638451085,309.8145636782007,-3.358261339832607,2.2633823194435263,0.6976226203566701,0.0,0.0,50.0
